0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,y
-0.40266737,15.62847,-13.040495,-5.92527,-7.035744,-7.4831996,5.368446,-0.55026114,3.6781027,-35.3808,25.632465,-11.441942,-0.51100206,-13.155078,15.8437605,-3.5867748,19.075735,12.529502,-11.037109,15.722793,-3.869405,5.497488,9.0830145,7.7524095,-1.8261912,9.796676,-11.984096,-13.019563,2.226734,5.4879475,-6.843249,2.178198,24.468412,9.783978,0.78827125,1.0720607,15.04915,-7.8677993,1.7802501,-20.518147,9.872779,-3.9809875,-8.967472,15.231266,2.9744165,-11.727603,-21.752073,-12.309955,-5.1309843,-6.7271576,4.67764
-10.577551,24.345411,-33.726322,2.329483,9.611303,24.641762,16.173046,-7.3526287,-26.630287,17.280725,1.132857,5.6961303,-34.063534,-18.1242,-13.648959,13.3332405,15.668224,-1.4470721,16.24712,-2.1583598,-6.1884127,8.9535055,8.338697,-19.771488,6.2478166,-6.7151356,22.330921,-2.8884182,1.4323654,-4.438487,17.201817,9.640501,5.2800317,19.462759,6.9373393,9.309039,-1.4967363,23.32199,2.768762,-10.178443,-0.061889376,7.037988,14.860042,8.307047,8.320674,-11.1172285,1.6191595,-11.948345,4.3509455,9.60124,26.3801
-1.9333512,10.879992,-7.7650113,-7.7360826,1.8210412,-17.507353,-7.3149247,-9.189756,-11.330854,-2.6615024,-11.715314,-1.0924892,-7.102643,22.345713,-10.750377,-2.4834924,-3.5459177,-19.312145,35.194584,-8.300529,-6.726344,9.056852,19.87654,2.9733016,-15.444402,7.272333,-4.6633873,12.070509,9.937691,-1.4449005,-2.2265894,11.097599,-18.374989,-3.5153975,11.768775,-13.611913,-10.287001,5.6709905,-5.464467,8.724149,-15.408172,-8.788967,-3.3687418,-7.5178514,1.8428929,10.854793,14.094796,-10.830054,10.625988,-2.563222,0.387119
-14.439147,1.7683005,-21.734499,-1.0761342,-21.689798,4.6505,16.670195,10.317226,4.994079,-13.929349,14.637051,-14.41624,1.9587276,26.411377,-3.7559426,8.132021,2.6621993,11.292304,-7.6892357,5.448613,-7.638035,-3.6400123,10.593802,8.468866,-9.282478,-6.347312,-2.588631,-1.7371598,-9.874534,3.3344736,-12.405294,2.7614226,-14.621077,-14.730868,0.6105768,-1.2679721,-3.4506953,13.705597,2.9341717,-1.7177048,-3.4161842,-3.334792,20.778881,-31.93311,-4.1985474,-1.9945259,9.086744,10.428639,18.682579,7.273903,-47.2244
16.66707,-21.017195,13.14328,5.1231446,-17.482248,-3.6311457,-3.3632295,-18.93264,25.928333,16.511806,6.9473314,9.468739,-15.16264,17.902475,7.187875,-8.789855,13.645785,-8.481451,-1.1847308,-10.915532,-4.554269,14.783445,4.818908,4.4518895,6.6555853,-8.839751,-7.7242026,3.391288,-10.44483,-6.1373453,8.075593,20.369774,4.3769794,-5.872221,-15.473045,3.2646306,5.9367023,-0.1951528,0.8723963,6.4358544,0.6578116,-5.900688,-9.175534,17.597916,-11.337599,15.880845,12.013067,-1.1880647,5.395693,10.173275,-30.8481
11.449768,-21.539576,-19.520786,-0.8215021,-14.986382,5.142076,-9.960023,-3.6685514,5.8410687,-0.74018,11.561223,-12.78551,6.7868633,10.3280115,-9.519799,5.13036,11.224255,6.654599,-6.9473667,-0.035066973,4.233427,-14.029828,12.15063,-16.766624,-11.730185,5.591562,2.0131028,8.020634,-20.917812,-5.241009,-1.6673404,9.79052,-7.7562346,0.6789437,20.422897,0.03675126,-3.0867586,25.75383,10.6227,-5.8469605,12.686135,-7.2556405,-7.137339,12.232947,-19.02718,5.577905,12.350413,-8.945882,1.4713899,12.34439,3.49239
-0.9600489,33.275757,-4.96082,4.6751747,9.426113,8.420029,-20.65999,22.124666,-9.059597,4.5638485,-6.656032,-16.378897,7.2867327,2.5062444,27.471437,-0.546575,-6.1598873,-32.888115,4.522122,23.895382,-3.4664316,-4.1966605,12.882779,-14.297794,-4.3969374,9.990454,5.304692,6.0806284,-13.519845,-1.0344362,4.3617167,-1.2217914,-12.736747,-16.91414,19.639353,-6.8003287,1.605974,-13.825232,11.860708,6.757535,8.016907,-21.26619,18.981445,11.289844,1.3950001,-15.5052595,-5.776187,-11.423692,5.611466,-15.009639,-8.7334
-18.546654,-14.17152,6.1745973,-2.9596603,19.725826,-0.4327756,-10.852367,7.092721,6.39555,-2.9119692,-0.16102518,14.4991455,10.026065,-17.836119,-21.667475,-12.091315,3.092808,-7.9564533,-0.037869837,12.375068,-10.056535,-3.7730782,-0.59227544,-2.275808,-6.675059,-10.99656,9.096449,-13.056067,1.1621932,-1.2201343,-25.620766,5.265186,5.430473,-16.222374,2.453201,3.7926981,22.0717,12.560664,12.138241,7.5524893,-9.2633705,11.084602,16.001944,-17.943344,-6.718518,0.36165613,5.766167,-12.188586,0.8639401,6.748147,12.8707
5.8932123,23.570024,4.188558,13.649392,13.270401,11.122351,-24.857758,26.073042,25.359566,1.5560358,-14.108556,-4.670967,-3.7604692,-6.566255,14.8133135,5.5431232,3.6826646,-29.791332,-11.44238,-7.67177,10.196075,-5.9456377,-14.066195,-8.97274,19.903996,-6.5682464,-9.668981,15.863292,-7.216658,2.130657,-10.671969,14.735513,19.09827,-18.070562,-4.211957,11.598948,-11.585324,17.639185,-4.798134,-5.5097294,-4.6947174,11.838276,-18.673735,1.7428335,16.721622,1.599616,23.900011,-1.7174017,-8.628648,18.908962,-29.0629
14.7488575,-21.731754,26.84042,7.9077253,34.09908,-20.787928,27.225384,-5.79312,9.43604,-40.2497,13.897402,-16.830404,-13.249269,-13.77469,-4.995982,-9.611413,-8.751813,23.56289,-2.0744557,4.9664845,-11.087132,-5.177209,-1.5429958,1.1624222,6.181511,9.379568,-5.4259124,-20.722864,-19.409733,-12.289858,-12.790835,10.444398,-8.228869,4.2650423,8.837972,12.76301,11.629663,1.4983157,16.688185,25.874052,5.441712,12.449585,-13.024154,0.07069893,7.392992,1.6177722,-28.520256,15.3473835,-0.99767035,-0.029010754,24.2221
