,hsq=0.0,hsq=0.2,hsq=0.4,hsq=0.8
Linear,0.1246450345610211,0.08733213309969404,0.11606670881453982,0.10024739614288698
Ridge,0.12463272130881987,0.08730848582503088,0.11605181114258172,0.10023483499015717
ElasticNet,0.1132847447749337,0.06542295547602535,0.10643575272844816,0.09931725938135898
FC,0.7019090215040166,0.4854621421874476,0.48155801029270656,0.2890996986180322
FC_DROP,0.11374954513120553,0.0669825550334337,0.10572504437994643,0.10002563603873912
CNN_SIMPLE,0.113235719379747,0.06543594059691678,0.106507218400322,0.09936247389587273
CNN,0.11325743751760942,0.06543397583275107,0.1064901006028444,0.09932543456154799
